Français,Anglais,Type
Mont Chimnée,Mt. Chimney,Hoenn
Île Mirage,Mirage Island,Hoenn
Île du Sud,Southern Island,Hoenn
Sanctuaire,Sealed Chamber,Hoenn
Grotte Zénith,Scorched Slab,Hoenn
Grotte de l’Îlot,Island Cave,Hoenn
Ruines Désert,Desert Ruins,Hoenn
Tombeau Antique,Ancient Tomb,Hoenn
???,???,Hoenn
Base Secrète,Secret Base,Hoenn
Tour de Combat,Battle Tower,Hoenn
Bourg Croquis,Vaniville Town,Kalos
Route 1,Route 1,Kalos
Sentier Croquis,Vaniville Pathway,Kalos
Quarellis,Aquacorde Town,Kalos
Route 2,Route 2,Kalos
Chemin Progrès,Avance Trail,Kalos
Forêt de Neuvartault,Santalune Forest,Kalos
Route 3,Route 3,Kalos
Chemin Ouvert,Ouvert Way,Kalos
Neuvartault,Santalune City,Kalos
Route 4,Route 4,Kalos
Route Fleurie,Parterre Way,Kalos
Illumis,Lumiose City,Kalos
Tour Prismatique,Prism Tower,Kalos
Labos Lysandre,Lysandre Labs,Kalos
Route 5,Route 5,Kalos
Chemin du Versant,Versant Road,Kalos
Fort-Vanitas,Camphrier Town,Kalos
Fort de Vanitas,Shabboneau Castle,Kalos
Route 6,Route 6,Kalos
Allée du Palais,Palais Lane,Kalos
Palais Chaydeuvre,Parfum Palace,Kalos
Route 7,Route 7,Kalos
Chemin des Berges,Rivière Walk,Kalos
Relifac-le-Haut,Cyllage City,Kalos
Route 8,Route 8,Kalos
Falaise Muraille,Muraille Coast,Kalos
Roche-sur-Gliffe,Ambrette Town,Kalos
Route 9,Route 9,Kalos
Piste Piquante,Spikes Passage,Kalos
Château de Combat,Battle Chateau,Kalos
Route 10,Route 10,Kalos
Route Menhir,Menhir Trail,Kalos
Cromlac’h,Geosenge Town,Kalos
Route 11,Route 11,Kalos
Chemin Miroir,Miroir Way,Kalos
Grotte Miroitante,Reflection Cave,Kalos
Yantreizh,Shalour City,Kalos
Tour Maîtrise,Tower of Mastery,Kalos
Route 12,Route 12,Kalos
Chemin Fourrage,Fourrage Road,Kalos
Port Tempères,Coumarine City,Kalos
Route 13,Route 13,Kalos
Steppe d’Illumis,Lumiose Badlands,Kalos
Route 14,Route 14,Kalos
Laie Romant-ss-Bois,Laverre Nature Trail,Kalos
Romant-sous-Bois,Laverre City,Kalos
Usine de Poké Balls,Poké Ball Factory,Kalos
Route 15,Route 15,Kalos
Chemin Brun,Brun Way,Kalos
La Frescale,Dendemille Town,Kalos
Route 16,Route 16,Kalos
Chemin Tristesse,Mélancolie Path,Kalos
Caverne Gelée,Frost Cavern,Kalos
Route 17,Route 17,Kalos
Route Mammochon,Mamoswine Road,Kalos
Flusselles,Anistar City,Kalos
Route 18,Route 18,Kalos
Chemin des Gorges,Vallée Étroite Way,Kalos
Mozheim,Couriway Town,Kalos
Route 19,Route 19,Kalos
Chemin du Val,Grande Vallée Way,Kalos
Auffrac-les-Congères,Snowbelle City,Kalos
Route 20,Route 20,Kalos
Bois du Dédale,Winding Woods,Kalos
Village Pokémon,Pokémon Village,Kalos
Route 21,Route 21,Kalos
Chemin Final,Dernière Way,Kalos
Route 22,Route 22,Kalos
Chemin Détour,Détourner Way,Kalos
Route Victoire,Victory Road,Kalos
Ligue Pokémon,Pokémon League,Kalos
Batisques,Kiloude City,Kalos
Maison de Combat,Battle Maison,Kalos
Baie Azur,Azure Bay,Kalos
Porte de La Frescale,Dendemille Gate,Kalos
Porte de Mozheim,Couriway Gate,Kalos
Porte de R. s/Gliffe,Ambrette Gate,Kalos
Porte d’Illumis,Lumiose Gate,Kalos
Porte de Yantreizh,Shalour Gate,Kalos
Porte de P. Tempères,Coumarine Gate,Kalos
Porte de Romant,Laverre Gate,Kalos
Porte de Flusselles,Anistar Gate,Kalos
Porte d’Auffrac,Snowbelle Gate,Kalos
Grotte Étincelante,Glittering Cave,Kalos
Cave Connecterre,Connecting Cave,Kalos
Antre Nosferapti,Zubat Roost,Kalos
Centrale de Kalos,Kalos Power Plant,Kalos
Repaire Team Flare,Team Flare Secret HQ,Kalos
Grotte Coda,Terminus Cave,Kalos
Hôtel Désolation,Lost Hotel,Kalos
Chambre Néant,Chamber of Emptiness,Kalos
Antre Néréen,Sea Spirit’s Den,Kalos
Safari des Amis,Friend Safari,Kalos
Chambre du Brasier,Blazing Chamber,Kalos
Chambre du Barrage,Flood Chamber,Kalos
Chambre de l’Alliage,Ironworks Chamber,Kalos
Chambre de la Guivre,Dragonmark Chamber,Kalos
Chambre de l’Éclat,Radiant Chamber,Kalos
Porte de la Ligue,Pokémon League Gate,Kalos
Gare d’Illumis,Lumiose Station,Kalos
Gare de Batisques,Kiloude Station,Kalos
Aquarium R. s/Gliffe,Ambrette Aquarium,Kalos
Grotte Inconnue,Unknown Dungeon,Kalos
Ligue Pokémon,Pokémon League,Hoenn
Planque Aqua,Team Aqua Hideout,Hoenn
Lavandia Sea,Sea Mauville,Hoenn
Planque Magma,Team Magma Hideout,Hoenn
Atoll de Combat,Battle Resort,Hoenn
Le Marina,S.S. Tidal,Hoenn
Forêt Mirage,Mirage Forest,Hoenn
Grotte Mirage,Mirage Cave,Hoenn
Mont Mirage,Mirage Mountain,Hoenn
Forêt Impénétrable,Trackless Forest,Hoenn
Plaine Sans Nom,Pathless Plain,Hoenn
Grotte Oubliée,Nameless Cavern,Hoenn
Grotte Évanescente,Fabled Cave,Hoenn
Gouffre Informe,Gnarled Den,Hoenn
Île de l’Arc,Crescent Isle,Hoenn
Îlot Secret,Secret Islet,Hoenn
Grand Ciel,Soaring in the sky,Hoenn
Plage Secrète,Secret Shore,Hoenn
Champ Fleuri Secret,Secret Meadow,Hoenn
Route 1,Route 1,Alola
Route 1,Route 1,Alola
Route 3,Route 3,Alola
Route 2,Route 2,Alola
Baie de Kala’e,Kala’e Bay,Alola
Mer de Mele-Mele,Melemele Sea,Alola
Ekaeka,Hau’oli City,Alola
Ekaeka,Hau’oli City,Alola
Ekaeka,Hau’oli City,Alola
Lili’i,Iki Town,Alola
Sentier de Mahalo,Mahalo Trail,Alola
Sentier de Mahalo,Mahalo Trail,Alola
Ruines du Conflit,Ruins of Conflict,Alola
Colline Dicarat,Ten Carat Hill,Alola
Colline Dicarat,Ten Carat Hill,Alola
Cimetière d’Ekaeka,Hau’oli Cemetery,Alola
Jardin de Mele-Mele,Melemele Meadow,Alola
Grotte Verlamer,Seaward Cave,Alola
Champ de Baies,Berry Fields,Alola
Grotte Verdoyante,Verdant Cavern,Alola
Grotte Verdoyante,Verdant Cavern,Alola
Route 4,Route 4,Alola
Route 5,Route 5,Alola
Route 6,Route 6,Alola
Route 7,Route 7,Alola
Route 8,Route 8,Alola
Route 9,Route 9,Alola
Club Hano-Hano,Hano Grand Resort,Alola
Plage Hano-Hano,Hano Beach,Alola
Jardin d’Akala,Akala Meadow,Alola
Ohana,Paniola Town,Alola
Ho’ohale,Heahea City,Alola
Konikoni,Konikoni City,Alola
Rue du Dôme Royal,Royal Avenue,Alola
Colline Memento,Memorial Hill,Alola
Ranch Ohana,Paniola Ranch,Alola
Parc Volcanique,Wela Volcano Park,Alola
Parc Volcanique,Wela Volcano Park,Alola
Colline Clapotis,Brooklet Hill,Alola
Colline Clapotis,Brooklet Hill,Alola
Jungle Sombrefeuille,Lush Jungle,Alola
Ruines de l’Éveil,Ruins of Life,Alola
Côte Reculée d’Akala,Akala Outskirts,Alola
Tunnel Taupiqueur,Diglett’s Tunnel,Alola
Dôme Royal,Battle Royal Dome,Alola
Route 10,Route 10,Alola
Route 11,Route 11,Alola
Côte Sauvage,Secluded Shore,Alola
Route 13,Route 13,Alola
Village Toko,Tapu Village,Alola
Route 15,Route 15,Alola
Route 16,Route 16,Alola
Route 17,Route 17,Alola
Route 12,Route 12,Alola
Désert Haina,Haina Desert,Alola
Route 14,Route 14,Alola
Jardin d’Ula-Ula,Ula’ula Meadow,Alola
Kokohio,Po Town,Alola
Malié,Malie City,Alola
Parc de Malié,Malie Garden,Alola
Mont Hokulani,Mount Hokulani,Alola
Mont Ardent,Blush Mountain,Alola
Ruines de l’Essor,Ruins of Abundance,Alola
Lac du Halo Solaire,Lake of the Sunne,Alola
Lac du Halo Lunaire,Lake of the Moone,Alola
Mont Lanakila,Mount Lanakila,Alola
Manoir Chelou,Shady House,Alola
Bradley Prix,Thrifty Megamart,Alola
Observatoire,Hokulani Observatory,Alola
Ligue Pokémon,Pokémon League,Alola
Jardin de Poni,Poni Meadow,Alola
Prairie de Poni,Poni Wilds,Alola
Vieille Route,Ancient Poni Path,Alola
Récif de Poni,Poni Breaker Coast,Alola
Forêt de Poni,Poni Grove,Alola
Plaine de Poni,Poni Plains,Alola
Côte de Poni,Poni Coast,Alola
Chemin du Défi,Poni Gauntlet,Alola
Village Flottant,Seafolk Village,Alola
Grand Canyon de Poni,Vast Poni Canyon,Alola
Autel du Soleil,Altar of the Sunne,Alola
Autel de la Lune,Altar of the Moone,Alola
Ruines de l’Au-Delà,Ruins of Hope,Alola
Caverne Coda,Resolution Cave,Alola
Île Noadkoko,Exeggutor Island,Alola
Arbre de Combat,Battle Tree,Alola
Paradis Æther,Aether Paradise,Alola
Ultra-Dimension,Ultra Space,Alola
Malié,Malie City,Alola
Sillonnant Kanto,Roaming Kanto,Kanto
Sillonnant Johto,Roaming Johto,Johto
Sillonnant Hoenn,Roaming Hoenn,Hoenn
Sillonnant Sinnoh,Roaming Sinnoh,Sinnoh
Grotte Terra,Terra Cave,Hoenn
Grotte Marine,Marine Cave,Hoenn
Île 2,Two Island,Kanto
Île 3,Three Island,Kanto
Route Île 3,Three Isle Path,Kanto
Île 6,Six Island,Kanto
Île 7,Seven Island,Kanto
Île Aurore,Birth Island,Kanto
Roc Nombri,Navel Rock,Kanto
Île lointaine,Faraway Island,Hoenn
Zone de Combat,Hoenn Battle Frontier,Hoenn
Parc Safari,Johto Safari Zone,Johto
Cuchalaga,Cabo Poco,Paldea
Plato Real,Los Platos,Paldea
Mesaledo,Mesagoza,Paldea
Sevaro,Cortondo,Paldea
Alforneira,Alfornada,Paldea
Ligue Pokémon,Pokémon League,Paldea
Cuencia,Artazon,Paldea
Levalendura,Levincia,Paldea
Pinchoria,Zapapico,Paldea
Jarramanca,Cascarrafa,Paldea
Porto Marinada,Porto Marinada,Paldea
Mezclamora,Medali,Paldea
Frigao,Montenevera,Paldea
Zone Sud n° 1,South Province (Area One),Paldea
Zone Sud n° 2,South Province (Area Two),Paldea
Zone Sud n° 3,South Province (Area Three),Paldea
Zone Sud n° 4,South Province (Area Four),Paldea
Zone Sud n° 5,South Province (Area Five),Paldea
Zone Sud n°6,South Province (Area Six),Paldea
Mer du Sud de Paldea,South Paldean Sea,Paldea
Route de Cuchalaga,Poco Path,Paldea
Caverne de la Crique,Inlet Grotto,Paldea
Académie Orange,Naranja Academy,Paldea
Grotte d'Alforneira,Alfornada Cavern,Paldea
Sanctuaire du Bois Mourant,Grasswither Shrine,Paldea
Zone Est n° 1,East Province (Area One),Paldea
Zone Est n° 2,East Province (Area Two),Paldea
Zone Est n° 3,East Province (Area Three),Paldea
Mer de l'Est de Paldea,East Paldean Sea,Paldea
Bosquet Tagué,Tagtree Thicket,Paldea
Repaire du Groupe Schedar,Schedar Squad's Base,Paldea
Repaire du Groupe Tsih,Navi Squad's Base,Paldea
Zone Ouest n° 1,West Province (Area One),Paldea
Zone Ouest n° 2,West Province (Area Two),Paldea
Zone Ouest n° 3,West Province (Area Three),Paldea
Désert Rôtissable,Asado Desert,Paldea
Mer de l'Ouest de Paldea,West Paldean Sea,Paldea
Repaire du Groupe Segin,Segin Squad's Base,Paldea
Sanctuaire du Froid Cruel,Icerend Shrine,Paldea
Zone Nord n° 1,North Province (Area One),Paldea
Zone Nord n° 2,North Province (Area Two),Paldea
Zone Nord n° 3,North Province (Area Three),Paldea
Lac Asrol,Casseroya Lake,Paldea
Tunnel Mezcla-Pincho,Dalizapa Passage,Paldea
Mont Nappé,Glaseado Mountain,Paldea
Forêt Toastée,Socarrat Trail,Paldea
Sanctuaire du Sol Corrompu,Groundblight Shrine,Paldea
Sanctuaire du Feu Ravageur,Firescourge Shrine,Paldea
Mer du Nord de Paldea,North Paldean Sea,Paldea
Repaire du Groupe Ruchbah,Ruchbah Squad's Base,Paldea
Repaire du Groupe Caph,Caph Squad's Base,Paldea
Zone Zéro,Area Zero,Paldea
Laboratoire Zéro,Zero Lab,Paldea
Route 1,Route 1,Galar
Route 2,Route 2,Galar
Route 3,Route 3,Galar
Route 4,Route 4,Galar
Route 5,Route 5,Galar
Route 6,Route 6,Galar
Route 7,Route 7,Galar
Route 8,Route 8,Galar
Route 9,Route 9,Galar
Route 10,Route 10,Galar
Œil du Lac,Axew's Eye,Galar
Lac Poké Ball,Ballimere Lake,Galar
Corrifey,Ballonlea,Galar
Tour de Combat,Battle Tower,Galar
Grotte du Pugilat,Brawlers' Cave,Galar
Prairie Entre-Ponts,Bridge Field,Galar
Plage de l'Épreuve,Challenge Beach,Galar
Route de l'Épreuve,Challenge Road,Galar
Ludester,Circhester,Galar
Caverne Pugnacité,Courageous Cavern,Galar
Temple Couronne,Crown Shrine,Galar
Bois de Clairjour,Dappled Grove,Galar
Fosse des Sables,Dusty Bowl,Galar
Butte du Dynarbre,Dyna Tree Hill,Galar
Lac Coupenotte Est,East Lake Axewell,Galar
Plaine Salutation,Fields of Honor,Galar
Forêt Flexion,Forest of Focus,Galar
Hameau Gelé,Freezington,Galar
Mer Banquise,Frigid Sea,Galar
Plaine Granfroy,Frostpoint Field,Galar
Mine de Galar,Galar Mine,Galar
Mine de Galar n° 2,Galar Mine No. 2,Galar
Repos du Géant,Giant's Bed,Galar
Empreinte du Géant,Giant's Foot,Galar
Miroir du Géant,Giant's Mirror,Galar
Siège du Géant,Giant's Seat,Galar
Forêt de Lumirinth,Glimwood Tangle,Galar
Kickenham,Hammerlocke,Galar
Plateau de Kickenham,Hammerlocke Hills,Galar
Îlot Calméole,Honeycalm Island,Galar
Mer Calméole,Honeycalm Sea,Galar
Skifford,Hulbury,Galar
Ruines Iceberg,Iceberg Ruins,Galar
Mer Isol'Îlots,Insular Sea,Galar
Ruines de Fer,Iron Ruins,Galar
Lac Ouragan,Lake of Outrage,Galar
Grotte du Lac,Lakeside Cave,Galar
Lagune Circulaire,Loop Lagoon,Galar
Dojo de la Maîtrise,Master Dojo,Galar
Grand Antre Dynamax,Max Lair,Galar
Motorby,Motostoke,Galar
Abords de Motorby,Motostoke Outskirts,Galar
Berges de Motorby,Motostoke Riverbank,Galar
Lac Milobellus Nord,North Lake Miloch,Galar
Cimetière Ancien,Old Cemetery,Galar
Sentier Blanche-Cime,Path to the Peak,Galar
Paddoxton,Postwick,Galar
Sables de Kudsac,Potbottom Desert,Galar
Cavernes Gronde-Mer,Roaring-Sea Caves,Galar
Ruines Pic Roche,Rock Peak Ruins,Galar
Plaine Verdoyante,Rolling Fields,Galar
Plateau Beau-Gant,Slippery Slope,Galar
Forêt de Sleepwood,Slumbering Weald,Galar
Pente Enneigée,Snowslide Slope,Galar
Lande Boldair,Soothing Wetlands,Galar
Lac Milobellus Sud,South Lake Miloch,Galar
Smashings,Spikemuth,Galar
Ruines du Choix,Split-Decision Ruins,Galar
Route 8,Route 8,Galar
Mer Align'Îlots,Stepping-Stone Sea,Galar
Plaine Rocheuse,Stony Wilderness,Galar
Old Chister,Stow-on-Side,Galar
Croisée Trois-Voies,Three-Point Pass,Galar
Tour des Ténèbres,Tower of Darkness,Galar
Tour de l'Eau,Tower of Waters,Galar
Plaine des Efforts,Training Lowlands,Galar
Galeries Monte-Pic,Tunnel to the Top,Galar
Greenbury,Turffield,Galar
Voie des Étirements,Warm-Up Tunnel,Galar
Tour en ruines,Watchtower Ruins,Galar
Brasswick,Wedgehurst,Galar
Lac Coupenotte Ouest,West Lake Axewell,Galar
Mer Eau-Hisse,Workout Sea,Galar
Winscor,Wyndon,Galar
Mont des Capumain,Aipom Hill,Hisui
Ancienne Carrière,Ancient Quarry,Hisui
Sentier de l'Arène,Arena's Approach,Hisui
Colline Ambition,Aspiration Hill,Hisui
Pente de l'Avalanche,Avalanche Slopes,Hisui
Glacier Séracrawl,Avalugg's Legacy,Hisui
Lagune des Bains,Bathers' Lagoon,Hisui
Mont des Gringoles,Bolderoll Ravine,Hisui
Pente des Gringoles,Bolderoll Slope,Hisui
Étendue Polaire,Bonechill Wastes,Hisui
Arène du Théâtre,Brava Arena,Hisui
Plage de l'Errance,Castaway Shore,Hisui
Temple Céleste,Celestica Ruins,Hisui
Sentier Céleste,Celestica Trail,Hisui
Falaise Cascade,Clamberclaw Cliffs,Hisui
Passage des Nuages,Cloudcap Pass,Hisui
Col Mer-de-Nuages,Cloudpool Ridge,Hisui
Bivouac Côtier,Coastlands Base Camp,Hisui
Lande Herbacoton,Cottonsedge Prairie,Hisui
Coteau du Passage,Crossing Slope,Hisui
Rive des Revenants,Deadwood Haunt,Hisui
Plateau Cer-Mont,Deertrack Heights,Hisui
Sentier Cer-Mont,Deertrack Path,Hisui
Lisière du Hameau,Diamond Heath,Hisui
Hameau Diamant,Diamond Settlement,Hisui
Champ Bourdonne,Droning Meadow,Hisui
Source Féérique,Fabled Spring,Hisui
Île Crache-Feu,Firespit Island,Hisui
Champ Flora,Floaro Gardens,Hisui
Marais Bouchebée,Gapejaw Bog,Hisui
Place Ginkgo,Ginkgo Landing,Hisui
Terrasse du Glacier,Glacier Terrace,Hisui
Plaine d'Or,Golden Lowlands,Hisui
Arène du Grand Arbre,Grandtree Arena,Hisui
Bocage Agité,Grueling Grove,Hisui
Rocher Esprit,Heart's Crag,Hisui
Hauts de l'Humilité,Heavenward Lookout,Hisui
Bivouac de la Friche,Heights Base Camp,Hisui
Crique Paisible,Hideaway Bay,Hisui
Île de l’Épreuve,Holm of Trials,Hisui
Val Ferrache,Horseshoe Plains,Hisui
Chambre des Piliers,Ice Column Chamber,Hisui
Chute d'Oglacé,Icebound Falls,Hisui
Arène de l'Iceberg,Icepeak Arena,Hisui
Souterrain de Givre,Icepeak Cavern,Hisui
Plage Long-des-Îles,Islespy Shore,Hisui
Rusti-Cité,Jubilife Village,Hisui
Lac Savoir,Lake Acuity,Hisui
Lac Courage,Lake Valor,Hisui
Lac Vérité,Lake Verity,Hisui
Source Reculée,Lonely Spring,Hisui
Arche Poissigrand,Lunker's Lair,Hisui
Arène de la Lave,Molten Arena,Hisui
Arène de la Lune,Moonview Arena,Hisui
Cellier Champêtre,Nature's Pantry,Hisui
Chute d'Obsidienne,Obsidian Falls,Hisui
Tunnel de Fer,Oreburrow Tunnel,Hisui
Hameau Perle,Pearl Settlement,Hisui
Grotte Préhistorique,Primeval Grotto,Hisui
Île Rosa Rugosa,Ramanas Island,Hisui
Parvis des Prières,Sacred Plaza,Hisui
Main de Sable,Sand's Reach,Hisui
Plaine Littorella,Sandgem Flats,Hisui
Marais Carlate,Scarlet Bog,Hisui
Havre des Algues,Seagrass Haven,Hisui
Creux du Cap,Seaside Hollow,Hisui
Ruines Brumeuses,Shrouded Ruins,Hisui
Plateau Tourbeux,Sludge Mound,Hisui
Source Panora-Neige,Snowfall Hot Spring,Hisui
Temple de Frimapic,Snowpoint Temple,Hisui
Ruines de Bonville,Solaceon Ruins,Hisui
Sentier des Pèlerins,Sonorous Path,Hisui
Distorsion Spatio-Temporelle,Space-time distortion,Hisui
Chemin de la Source,Spring Path,Hisui
Col Pierlevé,Stonetooth Rows,Hisui
Temple de Sinnoh,Temple of Sinnoh,Hisui
Forêt Lointaine,The Heartwood,Hisui
Digue de l'Estuaire,Tidewater Dam,Hisui
Presqu'île Tombolo,Tombolo Walk,Hisui
Baie Sérénité,Tranquility Cove,Hisui
Grotte du Retour,Turnback Cave,Hisui
Arène Ursa,Ursa's Ring,Hisui
Cap du Voile,Veilstone Cape,Hisui
Grotte des Égarés,Wayward Cave,Hisui
Forêt des Égarés,Wayward Wood,Hisui
Vallée Enneigée,Whiteout Valley,Hisui
Bois Brise-Vent,Windbreak Stand,Hisui
Rive Filevent,Windswept Run,Hisui
Pont Rocheux,Worn Bridge,Hisui
Coiffe du Géant,Giant's Cap,Galar
Ekaeka,Hau'oli City,Alola
Grotte Verdoyante,Verdant Cavern,Alola
Rue du Dôme Royal,Royal Avenue,Alola
Malié,Malie City,Alola
Tunnel Perce-Mont,Dividing Peak Tunnel,Alola
Plage d'Ho'ohale,Heahea Beach,Alola
Grotte de la Plage,Sandy Cave,Alola
Plage d'Ula-Ula,Ula'ula Beach,Alola
Ultra-Mégalopole,Ultra Megalopolis,Alola
Ultra-Dimension Zéro,Ultra Space Wilds,Alola
Poké Loisir,Poké Pelago,Alola
Château Rocket,Team Rocket's Castle,Alola
Unys (Sillonnant),Unova (Roaming),Unys
Centre Spatial d'Algatia,Mossdeep Space Center,Hoenn
Kalos (Sillonnant),Kalos (Roaming),Kalos
Académie Raisin,Uva Academy,Paldea
Coteau Pommes,Apple Hills,Paldea
Grotte Douche Froide,Chilling Waterhead,Paldea
Lac Cristallin,Crystal Pool,Paldea
Antre Interdit,Dreaded Den,Paldea
Gorge de la Corne,Fellhorn Gorge,Paldea
Val Infernal,Infernal Pass,Paldea
Septemplion,Kitakami Hall,Paldea
Route de Septentria,Kitakami Road,Paldea
Terres Vierges de Septentria,Kitakami Wilds,Paldea
Parc Adorami,Loyalty Plaza,Paldea
Rives du Confluent,Mossfell Confluence,Paldea
Jaderaude,Mossui Town,Paldea
Mont Strueux,Oni Mountain,Paldea
Gueule du Monstre,Oni's Maw,Paldea
Lande de la Quiétude,Paradise Barrens,Paldea
Sentier de la Liesse,Reveler's Road,Paldea
Forêt Ternelle,Timeless Woods,Paldea
Plaine des Glycines,Wistful Fields,Paldea
Zone Canyon,Canyon Biome,Paldea
Poste Canyon,Canyon Plaza,Paldea
Poste Central,Central Plaza,Paldea
Caverne Électrolithe,Chargestone Cavern,Paldea
Zone Côtière,Coastal Biome,Paldea
Poste Côtier,Coastal Plaza,Paldea
Club de la Ligue,League Club Room,Paldea
Zone Polaire,Polar Biome,Paldea
Poste Polaire,Polar Plaza,Paldea
Zone Savane,Savanna Biome,Paldea
Poste Savane,Savanna Plaza,Paldea
Dédale des Torches,Torchlit Labyrinth,Paldea
,Outskirt Stand,Orre
,Phenac City,Orre
,Snagem Hideout,Orre
,Shadow Pokémon Lab,Orre
,Pyrite Town,Orre
,Pyrite Bldg,Orre
,Pyrite Cave,Orre
,Realgam Tower,Orre
,Agate Village,Orre
,The Under,Orre
,Mt. Battle,Orre
,Pokemon Hq Lab,Orre
,Gateon Port,Orre
,Cipher Lab,Orre
,Pokespot,Orre
,ONBS,Orre
,Cipher Key Lair,Orre
,Citadark Isle,Orre
,Kanto Underground Path,Kanto
Oeuf,Egg,Lieu
Sylphe SARL,Silph Corp.,Kanto
Plaines Obsidiennes,Obsidian Fieldlands,Hisui
Terres Immaculées,Alabaster Icelands,Hisui
Côte Lazuli,Cobalt Coastlands,Hisui
Île Vertepousse,Greengrass Isle,Sleep
Grotte Sépia,Taupe Hollow,Sleep
Bulbizarre,Bulbasaur,Pokémon
Herbizarre,Ivysaur,Pokémon
Florizarre,Venusaur,Pokémon
Salamèche,Charmander,Pokémon
Reptincel,Charmeleon,Pokémon
Dracaufeu,Charizard,Pokémon
Carapuce,Squirtle,Pokémon
Carabaffe,Wartortle,Pokémon
Tortank,Blastoise,Pokémon
Chenipan,Caterpie,Pokémon
Chrysacier,Metapod,Pokémon
Papilusion,Butterfree,Pokémon
Aspicot,Weedle,Pokémon
Coconfort,Kakuna,Pokémon
Dardargnan,Beedrill,Pokémon
Roucool,Pidgey,Pokémon
Roucoups,Pidgeotto,Pokémon
Roucarnage,Pidgeot,Pokémon
Rattata,Rattata,Pokémon
Rattatac,Raticate,Pokémon
Piafabec,Spearow,Pokémon
Rapasdepic,Fearow,Pokémon
Abo,Ekans,Pokémon
Arbok,Arbok,Pokémon
Pikachu,Pikachu,Pokémon
Raichu,Raichu,Pokémon
Sabelette,Sandshrew,Pokémon
Sablaireau,Sandslash,Pokémon
Nidoran♀,Nidoran♀,Pokémon
Nidorina,Nidorina,Pokémon
Nidoqueen,Nidoqueen,Pokémon
Nidoran♂,Nidoran♂,Pokémon
Nidorino,Nidorino,Pokémon
Nidoking,Nidoking,Pokémon
Mélofée,Clefairy,Pokémon
Mélodelfe,Clefable,Pokémon
Goupix,Vulpix,Pokémon
Feunard,Ninetales,Pokémon
Rondoudou,Jigglypuff,Pokémon
Grodoudou,Wigglytuff,Pokémon
Nosferapti,Zubat,Pokémon
Nosferalto,Golbat,Pokémon
Mystherbe,Oddish,Pokémon
Ortide,Gloom,Pokémon
Rafflesia,Vileplume,Pokémon
Paras,Paras,Pokémon
Parasect,Parasect,Pokémon
Mimitoss,Venonat,Pokémon
Aéromite,Venomoth,Pokémon
Taupiqueur,Diglett,Pokémon
Triopikeur,Dugtrio,Pokémon
Miaouss,Meowth,Pokémon
Persian,Persian,Pokémon
Psykokwak,Psyduck,Pokémon
Akwakwak,Golduck,Pokémon
Férosinge,Mankey,Pokémon
Colossinge,Primeape,Pokémon
Caninos,Growlithe,Pokémon
Arcanin,Arcanine,Pokémon
Ptitard,Poliwag,Pokémon
Têtarte,Poliwhirl,Pokémon
Tartard,Poliwrath,Pokémon
Abra,Abra,Pokémon
Kadabra,Kadabra,Pokémon
Alakazam,Alakazam,Pokémon
Machoc,Machop,Pokémon
Machopeur,Machoke,Pokémon
Mackogneur,Machamp,Pokémon
Chétiflor,Bellsprout,Pokémon
Boustiflor,Weepinbell,Pokémon
Empiflor,Victreebel,Pokémon
Tentacool,Tentacool,Pokémon
Tentacruel,Tentacruel,Pokémon
Racaillou,Geodude,Pokémon
Gravalanch,Graveler,Pokémon
Grolem,Golem,Pokémon
Ponyta,Ponyta,Pokémon
Galopa,Rapidash,Pokémon
Ramoloss,Slowpoke,Pokémon
Flagadoss,Slowbro,Pokémon
Magnéti,Magnemite,Pokémon
Magnéton,Magneton,Pokémon
Canarticho,Farfetch'd,Pokémon
Doduo,Doduo,Pokémon
Dodrio,Dodrio,Pokémon
Otaria,Seel,Pokémon
Lamantine,Dewgong,Pokémon
Tadmorv,Grimer,Pokémon
Grotadmorv,Muk,Pokémon
Kokiyas,Shellder,Pokémon
Crustabri,Cloyster,Pokémon
Fantominus,Gastly,Pokémon
Spectrum,Haunter,Pokémon
Ectoplasma,Gengar,Pokémon
Onix,Onix,Pokémon
Soporifik,Drowzee,Pokémon
Hypnomade,Hypno,Pokémon
Krabby,Krabby,Pokémon
Krabboss,Kingler,Pokémon
Voltorbe,Voltorb,Pokémon
Électrode,Electrode,Pokémon
Noeunoeuf,Exeggcute,Pokémon
Noadkoko,Exeggutor,Pokémon
Osselait,Cubone,Pokémon
Ossatueur,Marowak,Pokémon
Kicklee,Hitmonlee,Pokémon
Tygnon,Hitmonchan,Pokémon
Excelangue,Lickitung,Pokémon
Smogo,Koffing,Pokémon
Smogogo,Weezing,Pokémon
Rhinocorne,Rhyhorn,Pokémon
Rhinoféros,Rhydon,Pokémon
Leveinard,Chansey,Pokémon
Saquedeneu,Tangela,Pokémon
Kangourex,Kangaskhan,Pokémon
Hypotrempe,Horsea,Pokémon
Hypocéan,Seadra,Pokémon
Poissirène,Goldeen,Pokémon
Poissoroy,Seaking,Pokémon
Stari,Staryu,Pokémon
Staross,Starmie,Pokémon
M. Mime,Mr. Mime,Pokémon
Insécateur,Scyther,Pokémon
Lippoutou,Jynx,Pokémon
Élektek,Electabuzz,Pokémon
Magmar,Magmar,Pokémon
Scarabrute,Pinsir,Pokémon
Tauros,Tauros,Pokémon
Magicarpe,Magikarp,Pokémon
Léviator,Gyarados,Pokémon
Lokhlass,Lapras,Pokémon
